year,date,week,month,day,start,end,action,duration,string-start,string-end
2022,2022-08-29,35,08,29,07:00,10:00,Wake up & Gym,03:00:00,2022-08-29 07:00:00+03:00,2022-08-29 10:00:00+03:00
2022,2022-08-29,35,08,29,10:00,11:30,Pay bills,01:30:00,2022-08-29 10:00:00+03:00,2022-08-29 11:30:00+03:00
2022,2022-08-29,35,08,29,11:30,12:00,Dm random dude on linkedin about job,00:30:00,2022-08-29 11:30:00+03:00,2022-08-29 12:00:00+03:00
2022,2022-08-29,35,08,29,12:00,13:00,Comment on Primex,01:00:00,2022-08-29 12:00:00+03:00,2022-08-29 13:00:00+03:00
2022,2022-08-30,35,08,30,08:00,09:00,Be @ Hanken before 9am,01:00:00,2022-08-30 08:00:00+03:00,2022-08-30 09:00:00+03:00
2022,2022-08-30,35,08,30,09:00,19:30,Project 1 & 2,10:30:00,2022-08-30 09:00:00+03:00,2022-08-30 19:30:00+03:00
2022,2022-08-31,35,08,31,07:30,10:00,Wake up & Gym,02:30:00,2022-08-31 07:30:00+03:00,2022-08-31 10:00:00+03:00
2022,2022-08-31,35,08,31,11:00,20:15,Programming,09:15:00,2022-08-31 11:00:00+03:00,2022-08-31 20:15:00+03:00
2022,2022-08-31,35,08,31,20:15,22:00,Home etc,01:45:00,2022-08-31 20:15:00+03:00,2022-08-31 22:00:00+03:00
2022,2022-09-01,35,09,01,06:00,07:00,Wake up,01:00:00,2022-09-01 06:00:00+03:00,2022-09-01 07:00:00+03:00
2022,2022-09-01,35,09,01,07:00,08:30,Check how to get Life Coach?,01:30:00,2022-09-01 07:00:00+03:00,2022-09-01 08:30:00+03:00
2022,2022-09-01,35,09,01,08:30,16:00,Programming,07:30:00,2022-09-01 08:30:00+03:00,2022-09-01 16:00:00+03:00
2022,2022-09-01,35,09,01,16:00,22:00,"Vapaailta, keksi jtn hauskaa ",06:00:00,2022-09-01 16:00:00+03:00,2022-09-01 22:00:00+03:00
2022,2022-09-02,35,09,02,06:00,09:00,Wake up & Gym,03:00:00,2022-09-02 06:00:00+03:00,2022-09-02 09:00:00+03:00
